id_uni,nomb_uni,id_est,id_est-2,nom_est
12,INSTITUTO UNIVERSITARIO POLITÉCNICO SANTIAGO MARIÑO,15,15,EDO. MONAGAS
13,INSTITUTO UNIVERSITARIO POLITÉCNICO SANTIAGO MARIÑO,16,16,EDO. NUEVA ESPARTA
14,INSTITUTO UNIVERSITARIO POLITÉCNICO SANTIAGO MARIÑO,19,19,EDO. TACHIRA
15,INSTITUTO UNIVERSITARIO POLITÉCNICO SANTIAGO MARIÑO,23,23,EDO. ZULIA
192,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA INDUSTRIAL RODOLFO LOERO ARISMENDI,16,16,EDO. NUEVA ESPARTA
193,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA INDUSTRIAL RODOLFO LOERO ARISMENDI,18,18,EDO. SUCRE
194,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA INDUSTRIAL RODOLFO LOERO ARISMENDI,20,20,EDO . TRUJILLO
195,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA INDUSTRIAL RODOLFO LOERO ARISMENDI,21,21,EDO. LA GUAIRA
655,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA INDUSTRIAL RODOLFO LOERO ARISMENDI,1,1,DTTO. CAPITAL
656,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA INDUSTRIAL RODOLFO LOERO ARISMENDI,1,1,DTTO. CAPITAL
514,INSTITUTO UNIVERSITARIO EXPERIMENTAL DE TECNOLOGÍA LA VICTORIA,7,7,EDO. CARABOBO
757,UNIVERSIDAD BOLIVARIANA DE LOS TRABAJADORES JESÚS RIVERO,15,15,EDO. MONAGAS
70,UNIVERSIDAD BOLIVARIANA DE LOS TRABAJADORES JESÚS RIVERO,15,15,EDO. MONAGAS
758,UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,10,10,EDO. FALCON
