nombre,continente,capital,latitud,longitud
NAMIBIA,AFRICA,WINDHOEK,-225609,170658
NAURU,AUSTRALIA Y OCEANIA,YAREN,-5467,1669211
NEPAL,ASIA,KATMANDU,277172,85324
NICARAGUA,AMERICA,MANAGUA,121364,-862514
NIGER,AFRICA, NIAMEY,135137,21098
NIGERIA,AFRICA,ABUYA,90765,73986
NIUE,AUSTRALIA Y OCEANIA,ALOFI,-190554,-1699179
NORUEGA,EUROPA,OSLO,599139,107522
NUEVA CALEDONIA,AUSTRALIA Y OCEANIA,NOUMEA,-222558,1664505
NUEVA ZELANDA,AUSTRALIA Y OCEANIA,WELLINGTON,-412866,1747756
OMAN,ASIA,MASCATE,235859,584059
PAISES BAJOS,EUROPA,AMSTERDAM,523676,49041
PAKISTAN,ASIA,ISLAMABAD,336844,730479
PALAU,AUSTRALIA Y OCEANIA,MELEKEOK,75004,1346243
PALESTINA,ASIA,JERUSALEN ESTE,317767,352345
PANAMA,AMERICA,CIUDAD DE PANAMA,89824,-795199
PAPUA NUEVA GUINEA,AUSTRALIA Y OCEANIA,PUERTO MORESBY,-94438,1471803
PARAGUAY,AMERICA,ASUNCION,-252637,-575759
PERU,AMERICA,LIMA,-120464,-770428
POLINESIA FRANCESA,AUSTRALIA Y OCEANIA,PAPEETE,-175516,-1495585
POLONIA,EUROPA,VARSOVIA,522297,210122
PORTUGAL,EUROPA,LISBOA,387223,-91393
PUERTO RICO,AMERICA,SAN JUAN,184655,-661057
QATAR,ASIA,DOHA,252854,51531
REINO UNIDO,EUROPA,LONDRES,515074,-1278
REPUBLICA CENTROAFRICANA,AFRICA,BANGUI,43947,185582
REPUBLICA CHECA,EUROPA,PRAGA,500755,144378
REPUBLICA DOMINICANA,AMERICA,SANTO DOMINGO,184861,-699312
REUNION,AFRICA,SAINT-DENIS,-208688,554555
RUANDA,AFRICA,KIGALI,-19706,301044
RUMANIA,EUROPA,BUCAREST,444268,261025
RUSIA,EUROPA,MOSCU,557558,376173
SAHARA OCCIDENTAL,AFRICA,EL AAIUN,271536,-132033
SAMOA,AUSTRALIA Y OCEANIA,APIA,-138507,-1717514
SAMOA AMERICANA,AUSTRALIA Y OCEANIA,PAGO PAGO,-142756,-1707021
SAN BARTOLOME,AMERICA,GUSTAVIA,178964,-628498
SAN CRISTOBAL Y NIEVES,AMERICA,BASSETERRE,173026,-627177
SAN MARINO,EUROPA,SAN MARINO,439424,124578
SAN MARTIN (FRANCIA),AMERICA,MARIGOT,180679,-630825
SAN PEDRO Y MIQUELON,AMERICA,SAINT-PIERRE,467758,-561803
SANTA ELENA,AFRICA,JAMESTOWN,-159387,-57168
SANTA LUCIA,AMERICA,CASTRIES,140101,-609875
SANTO TOME Y PRINCIPE,AFRICA,SANTO TOME,3302,67333
SENEGAL,AFRICA,DAKAR,147645,-17366
SERBIA,EUROPA,BELGRADO,447866,204489
SEYCHELLES,AFRICA,VICTORIA,-46191,554513
SIERRA LEONA,AFRICA,FREETOWN,84657,-132317
SINGAPUR,ASIA,SINGAPUR,13521,1038198
SIRIA,ASIA,DAMASCO,335138,362765
SOMALIA,AFRICA,MOGADISCIO,20469,453182
SRI LANKA,ASIA,COLOMBO,69271,798612
SUDAFRICA,AFRICA,PRETORIA,-257479,282293
SUDAN,AFRICA,JARTUM,155007,325599
SUECIA,EUROPA,ESTOCOLMO,593293,180686
SUIZA,EUROPA,BERNA,46948,74474
SURINAM,AMERICA,PARAMARIBO,5852,-552038
SVALBARD Y JAN MAYEN,EUROPA,LONGYEARBYEN,782232,156267
SWAZILANDIA,AFRICA,MBABANE,-263054,311367
TADJIKISTAN,ASIA,DUSAMBÉ,385598,68787
TAILANDIA,ASIA,BANGKOK,137563,1005018
TAIWAN,ASIA,TAIPEI,25033,1215654
TANZANIA,AFRICA,DODOMA,-6163,357516
TERRITORIO BRITANICO DEL OCEANO INDICO,,,,
TERRITORIOS AUSTRALES Y ANTARTICAS FRANCESES,,,,
TIMOR ORIENTAL,ASIA,DILI,-85569,1255603
TOGO,AFRICA,LOME,61725,12314
TOKELAU,AUSTRALIA Y OCEANIA,FAKAOFO,-91665,-1711414
TONGA,AUSTRALIA Y OCEANIA,NUKUALOFA,-211393,-1752049
TRINIDAD Y TOBAGO,AMERICA,PUERTO ESPAÑA,106549,-615019
TUNEZ,AFRICA,TUNEZ,368065,101815
TURKMENISTAN,ASIA,ASGABAT,379601,583261
TURQUIA,ASIA,ANKARA,399334,328597
TUVALU,AUSTRALIA Y OCEANIA,FUNAFUTI,-85201,1791981
UCRANIA,EUROPA,KIEV,504501,305234
UGANDA,AFRICA,KAMPALA,3476,325825
URUGUAY,AMERICA,MONTEVIDEO,-349011,-561645
UZBEKISTAN,ASIA,TASHKENT,412995,692401
VANUATU,AUSTRALIA Y OCEANIA,PORT VILA,-177333,1683273
VENEZUELA,AMERICA,CARACAS,104806,-669036
VIETNAM,ASIA,HANOI,210278,1058342
WALLIS Y FUTUNA,AUSTRALIA Y OCEANIA,MATA-UTU,-13282,-1761764
YEMEN,ASIA,SANA,153694,44191
YIBUTI,AFRICA,YIBUTI,115721,431456
ZAMBIA,AFRICA,LUSAKA,-153875,283228
ZIMBABUE,AFRICA,HARARE,-178292,310522
